"Contestant","Year","Source_country","Points","Vote_type","Points_type","country_code","latitude","longitude"
"Russia",2016,"Sweden",6,"Jury","Low","SWE",60.1282,18.6435
"Spain",2016,"Azerbaijan",1,"Jury","Low","AZE",40.1431,47.5769
"Spain",2016,"Malta",2,"Jury","Low","MLT",35.9375,14.3754
"Spain",2016,"Denmark",1,"Jury","Low","DNK",56.2639,9.5018
"Spain",2016,"France",3,"Jury","Low","FRA",46.6034,2.2137
"Spain",2016,"Moldova",8,"Jury","High","MDA",47.4116,28.3699
"Spain",2016,"Armenia",3,"Jury","Low","ARM",40.0691,45.0382
"Spain",2016,"Bulgaria",4,"Jury","Low","BGR",42.7339,25.4858
"Spain",2016,"Israel",4,"Jury","Low","ISR",31.0461,34.8516
"Spain",2016,"Norway",7,"Jury","Low","NOR",60.472,8.4689
"Spain",2016,"Australia",5,"Jury","Low","AUS",-25.2744,133.7751
"Spain",2016,"Albania",6,"Jury","Low","ALB",41.1533,20.1683
"Spain",2016,"Italy",12,"Jury","High","ITA",41.8719,12.5674
"Spain",2016,"Poland",5,"Jury","Low","POL",51.9194,19.1451
"Spain",2016,"Hungary",5,"Jury","Low","HUN",47.1625,19.5033
"Spain",2016,"Sweden",1,"Jury","Low","SWE",60.1282,18.6435
"Latvia",2016,"Czech Republic",1,"Jury","Low","CZE",49.8175,15.473
"Latvia",2016,"Ireland",1,"Jury","Low","IRL",53.4129,-8.2439
"Latvia",2016,"Georgia",7,"Jury","Low","GEO",42.3154,43.3569
"Latvia",2016,"Switzerland",3,"Jury","Low","CHE",46.8182,8.2275
"Latvia",2016,"Israel",5,"Jury","Low","ISR",31.0461,34.8516
"Latvia",2016,"Germany",2,"Jury","Low","DEU",51.1657,10.4515
"Latvia",2016,"Russia",3,"Jury","Low","RUS",61.524,105.3188
"Latvia",2016,"Lithuania",7,"Jury","Low","LTU",55.1694,23.8813
"Latvia",2016,"Macedonia",3,"Jury","Low","MKD",41.6086,21.7453
"Latvia",2016,"Estonia",8,"Jury","High","EST",58.5953,25.0136
"Latvia",2016,"Ukraine",8,"Jury","High","UKR",48.3794,31.1656
"Latvia",2016,"Poland",6,"Jury","Low","POL",51.9194,19.1451
"Latvia",2016,"Slovenia",7,"Jury","Low","SVN",46.1512,14.9955
"Latvia",2016,"Hungary",8,"Jury","High","HUN",47.1625,19.5033
"Ukraine",2016,"Azerbaijan",10,"Jury","High","AZE",40.1431,47.5769
"Ukraine",2016,"San Marino",12,"Jury","High","SMR",43.9334,12.4578
"Ukraine",2016,"Georgia",12,"Jury","High","GEO",42.3154,43.3569
"Ukraine",2016,"Bosnia and Herzegovina",12,"Jury","High","BIH",43.9159,17.6791
"Ukraine",2016,"Switzerland",6,"Jury","Low","CHE",46.8182,8.2275
"Ukraine",2016,"Denmark",12,"Jury","High","DNK",56.2639,9.5018
"Ukraine",2016,"Moldova",12,"Jury","High","MDA",47.4116,28.3699
"Ukraine",2016,"Netherlands",3,"Jury","Low","NLD",52.1326,5.2913
"Ukraine",2016,"Latvia",12,"Jury","High","LVA",56.8796,24.6032
"Ukraine",2016,"Israel",12,"Jury","High","ISR",31.0461,34.8516
"Ukraine",2016,"Belarus",7,"Jury","Low","BLR",53.9006,27.5766
"Ukraine",2016,"Germany",7,"Jury","Low","DEU",51.1657,10.4515
"Ukraine",2016,"Norway",4,"Jury","Low","NOR",60.472,8.4689
"Ukraine",2016,"Australia",2,"Jury","Low","AUS",-25.2744,133.7751
"Ukraine",2016,"Belgium",3,"Jury","Low","BEL",50.5039,4.4699
"Ukraine",2016,"United Kingdom",10,"Jury","High","GBR",55.3781,-3.436
"Ukraine",2016,"Greece",2,"Jury","Low","GRC",39.0742,21.8243
"Ukraine",2016,"Lithuania",8,"Jury","High","LTU",55.1694,23.8813
"Ukraine",2016,"Serbia",12,"Jury","High","SRB",44.0165,20.907
"Ukraine",2016,"Macedonia",12,"Jury","High","MKD",41.6086,21.7453
"Ukraine",2016,"Estonia",7,"Jury","Low","EST",58.5953,25.0136
"Ukraine",2016,"Italy",10,"Jury","High","ITA",41.8719,12.5674
"Ukraine",2016,"Poland",12,"Jury","High","POL",51.9194,19.1451
"Ukraine",2016,"Slovenia",12,"Jury","High","SVN",46.1512,14.9955
"Malta",2016,"Austria",10,"Jury","High","AUT",47.5162,14.5501
"Malta",2016,"Iceland",4,"Jury","Low","ISL",64.9631,-19.0208
"Malta",2016,"Azerbaijan",6,"Jury","Low","AZE",40.1431,47.5769
"Malta",2016,"San Marino",3,"Jury","Low","SMR",43.9334,12.4578
"Malta",2016,"Czech Republic",6,"Jury","Low","CZE",49.8175,15.473
"Malta",2016,"Spain",6,"Jury","Low","ESP",40.4637,-3.7492
"Malta",2016,"Finland",5,"Jury","Low","FIN",61.9241,25.7482
